               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10811,            0.019119,                   0,               0.002,             0.46154,           0.0017109,          0.00076235,             0.10148,            0.014546,                   0,              0.0874,              0.0014,              0.0014
                   1,             0.10271,            0.019895,                   0,           0.0023333,             0.53846,           0.0041982,           0.0013133,            0.097395,            0.014901,                   0,            0.073871,           0.0028713,           0.0028713
                   2,            0.099109,            0.020828,                   0,           0.0023333,             0.53846,           0.0022014,           0.0006843,            0.094676,            0.015055,                   0,            0.060313,           0.0043129,           0.0043129
                   3,            0.095291,            0.021112,                   0,           0.0026667,             0.61538,           0.0025293,          0.00081667,            0.092334,            0.015237,                   0,            0.046725,           0.0057248,           0.0057248
                   4,             0.09285,            0.022443,                   0,           0.0026667,             0.61538,           0.0026897,           0.0010768,            0.090385,            0.015374,                   0,            0.033107,            0.007107,            0.007107
                   5,            0.093137,            0.020615,                   0,           0.0026667,             0.61538,           0.0028772,           0.0010263,            0.090057,             0.01532,                   0,            0.019459,           0.0084594,           0.0084594
                   6,            0.090691,            0.021485,                   0,               0.002,             0.46154,           0.0026762,          0.00093554,            0.088973,            0.015386,                   0,            0.009406,            0.009406,            0.009406
                   7,            0.091359,            0.022158,                   0,           0.0023333,             0.53846,           0.0058954,           0.0017717,             0.08783,             0.01547,                   0,            0.009406,            0.009406,            0.009406
                   8,            0.090574,            0.022239,                   0,           0.0023333,             0.53846,           0.0073529,           0.0023673,            0.088341,            0.015354,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.090015,            0.021565,                   0,           0.0023333,             0.53846,            0.010864,           0.0027612,            0.087427,            0.015323,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.089387,            0.022167,                   0,           0.0023333,             0.53846,            0.012132,           0.0032512,            0.086039,            0.015361,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.090517,            0.020294,                   0,           0.0023333,             0.53846,            0.010004,           0.0022346,            0.090322,            0.014513,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.088925,            0.021318,                   0,           0.0033333,             0.76923,            0.011786,           0.0024377,            0.091931,            0.013977,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.087789,            0.020009,                   0,               0.003,             0.69231,            0.011548,           0.0025053,            0.091567,            0.013778,                   0,            0.008812,            0.008812,            0.008812
                  14,            0.087996,            0.021191,                   0,           0.0033333,             0.76923,            0.014442,           0.0043545,            0.084855,            0.014849,                   0,            0.008713,            0.008713,            0.008713
                  15,            0.086644,             0.02116,                   0,           0.0036667,             0.84615,             0.01583,           0.0042046,            0.084606,            0.015018,                   0,            0.008614,            0.008614,            0.008614
                  16,            0.087701,            0.021792,                   0,           0.0033333,             0.76923,            0.016091,           0.0047703,            0.083697,            0.015162,                   0,            0.008515,            0.008515,            0.008515
                  17,            0.085809,            0.021529,                   0,           0.0033333,             0.76923,            0.012505,           0.0034106,            0.082029,            0.015157,                   0,            0.008416,            0.008416,            0.008416
                  18,            0.085724,            0.019887,                   0,           0.0033333,             0.76923,            0.059568,            0.009922,             0.07892,            0.014998,                   0,            0.008317,            0.008317,            0.008317
                  19,            0.084737,            0.021283,                   0,           0.0067148,             0.84615,            0.073281,            0.014083,            0.078751,            0.015018,                   0,            0.008218,            0.008218,            0.008218
                  20,            0.083874,            0.020998,                   0,            0.015221,             0.76923,             0.12252,            0.025461,            0.078543,            0.014706,                   0,            0.008119,            0.008119,            0.008119
                  21,            0.082902,            0.019433,                   0,            0.051138,             0.53846,            0.083227,            0.016664,            0.078606,            0.014492,                   0,             0.00802,             0.00802,             0.00802
                  22,            0.082774,            0.021115,                   0,            0.077459,             0.23077,             0.08219,            0.021893,            0.076564,            0.014756,                   0,            0.007921,            0.007921,            0.007921
                  23,             0.08118,              0.0209,                   0,            0.064479,             0.30769,             0.04823,             0.01021,            0.077963,            0.014812,                   0,            0.007822,            0.007822,            0.007822
