                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7264,                 4.7692,                 1.7645,                0.68607,                    0.3,                0.24437,                0.13722,                 1.7217,                 9.1813,                 2.0293,                0.00028,                0.00028,                0.00028
                      2,                 1.5307,                 2.4733,                 1.6277,                0.56183,                    0.4,                0.47878,                0.25023,                 1.8605,                 6.9746,                 2.0661,             0.00056852,             0.00056852,             0.00056852
                      3,                 1.6159,                  2.179,                 1.6819,                0.34493,                    0.2,                0.16567,                0.05606,                 2.2318,                 4.9329,                  3.347,             0.00084515,             0.00084515,             0.00084515
                      4,                 1.6933,                 2.0694,                 1.7279,                0.06159,                    0.4,                0.04431,                0.01224,                 2.9391,                 8.5859,                 4.1816,              0.0011099,              0.0011099,              0.0011099
                      5,                 1.7683,                 1.9725,                 1.7885,                0.01215,                    0.3,                0.00729,                0.00194,                  2.691,                 290.87,                 8.8076,              0.0013628,              0.0013628,              0.0013628
                      6,                 1.6867,                 1.9826,                 1.6983,                0.08333,                    0.3,                0.03162,                0.00858,                 3.0421,                  79.03,                 8.5206,              0.0016038,              0.0016038,              0.0016038
                      7,                 1.7633,                 2.0502,                 1.8029,                    0.1,                    0.3,                0.08004,                0.03039,                 2.5284,                 84.574,                 4.1346,              0.0017624,              0.0017624,              0.0017624
                      8,                 1.7682,                 2.0816,                 1.7942,                 0.0502,                    0.3,                0.04499,                0.01602,                 3.1859,                 23.998,                 4.7988,              0.0017228,              0.0017228,              0.0017228
                      9,                  1.707,                 1.9652,                 1.7207,                0.19789,                    0.4,                0.10848,                 0.0324,                 2.7676,                 14.596,                 5.1102,              0.0016832,              0.0016832,              0.0016832
                     10,                 1.8237,                 2.0072,                 1.8146,                0.17289,                    0.2,                0.21229,                0.10382,                 2.8794,                 10.642,                 3.2405,              0.0016436,              0.0016436,              0.0016436
                     11,                 1.7374,                  1.879,                 1.7123,                0.12542,                    0.4,                0.16183,                0.09385,                 2.8146,                 12.095,                 3.2021,               0.001604,               0.001604,               0.001604
                     12,                 1.6034,                 1.7933,                 1.6287,                0.54225,                    0.5,                0.51505,                0.25812,                 2.2066,                 3.2523,                  2.681,              0.0015644,              0.0015644,              0.0015644
                     13,                 1.6212,                 1.8328,                  1.661,                0.91395,                    0.2,                0.26625,                0.14604,                 2.1739,                 2.4414,                 2.3575,              0.0015248,              0.0015248,              0.0015248
                     14,                 1.5954,                 1.6252,                 1.6354,                0.54732,                    0.3,                0.42199,                0.22818,                 2.0523,                 8.4401,                 2.2545,              0.0014852,              0.0014852,              0.0014852
                     15,                 1.5416,                 1.6085,                 1.6125,                0.51814,                    0.3,                 0.2828,                0.11604,                 2.4024,                 4.1789,                 2.6296,              0.0014456,              0.0014456,              0.0014456
                     16,                  1.542,                 1.5406,                 1.5955,                0.49814,                    0.4,                 0.4907,                0.10636,                 2.2157,                 2.5808,                 2.4365,               0.001406,               0.001406,               0.001406
                     17,                 1.5044,                 1.5143,                 1.5595,                0.53378,                    0.4,                0.40301,                0.24877,                 1.9607,                 2.5553,                 2.0567,              0.0013664,              0.0013664,              0.0013664
                     18,                  1.513,                 1.5254,                 1.5534,                0.34784,                    0.7,                0.47014,                0.31046,                 1.8804,                  2.286,                  2.101,              0.0013268,              0.0013268,              0.0013268
                     19,                 1.4704,                 1.5098,                 1.5439,                0.61478,                0.64064,                0.53645,                0.18036,                 2.1689,                 2.3834,                 2.3199,              0.0012872,              0.0012872,              0.0012872
                     20,                 1.5266,                 1.4789,                 1.5972,                0.87135,                    0.2,                0.23165,                0.08306,                 2.5175,                 3.1398,                 2.5755,              0.0012476,              0.0012476,              0.0012476
                     21,                 1.4214,                 1.4216,                 1.5086,                0.65054,                 0.5613,                0.48269,                0.23525,                 1.8736,                 2.9663,                 1.9117,               0.001208,               0.001208,               0.001208
                     22,                 1.4056,                 1.3852,                 1.4695,                0.96943,                    0.5,                0.58885,                0.36062,                 1.6179,                 2.1753,                 1.6957,              0.0011684,              0.0011684,              0.0011684
                     23,                 1.4027,                 1.3136,                 1.4746,                      1,                0.48881,                0.61076,                0.36467,                 1.6929,                 1.7547,                 1.9178,              0.0011288,              0.0011288,              0.0011288
                     24,                 1.3668,                 1.2742,                 1.4334,                0.74128,                0.57558,                0.66313,                0.35955,                 1.8496,                 1.5099,                 1.9376,              0.0010892,              0.0010892,              0.0010892
                     25,                 1.3812,                 1.2775,                 1.4398,                0.65804,                    0.7,                0.74262,                0.36992,                 1.8027,                  1.289,                 1.8833,              0.0010496,              0.0010496,              0.0010496
                     26,                 1.3163,                 1.2365,                 1.3937,                0.65774,                    0.6,                 0.6191,                0.38103,                 1.7028,                 1.4108,                 1.8423,                0.00101,                0.00101,                0.00101
                     27,                 1.2314,                 1.2345,                 1.4116,                0.55004,                    0.5,                0.54427,                 0.3042,                 2.0804,                  1.745,                 2.3358,              0.0009704,              0.0009704,              0.0009704
                     28,                 1.2672,                 1.2218,                 1.3975,                 0.5988,                    0.4,                0.45949,                0.30352,                 2.0358,                 1.7532,                 2.1519,              0.0009308,              0.0009308,              0.0009308
